日期;時間;濕度;溫度
2016-08-22;10:56:00;31;31
2016-08-22;10:57:00;31;31
2016-08-22;10:58:00;31;31
error;error;error;error
2016-08-22;11:00:00;31;31
~~;~~;~~;~~;
2016-08-22;11:02:00;31;31
2016-08-22;11:03:00;31;31
2016-08-22;11:04:00;31;30
2016-08-22;11:05:00;31;31
2016-08-22;11:25:00;31;31
~~;~~;~~;~~

2016-08-22;11:31:00;59;33
2016-08-22;11:32:00;59;33
2016-08-22;11:33:00;59;33
2016-08-22;11:34:00;59;33
error;error;error;error
2016-08-22;11:36:00;59;33
2016-08-22;11:37:00;59;33
2016-08-22;11:38:00;59;35
2016-08-22;11:39:00;59;33
2016-08-22;11:40:00;59;33
2016-08-22;11:41:00;59;33
2016-08-22;11:42:00;59;35
error;error;error;error
2016-08-22;11:44:00;59;35
2016-08-22;11:45:00;59;35
2016-08-22;11:46:00;59;35
2016-08-22;11:47:00;63;36
2016-08-22;11:54:00;59;34
2016-08-22;11:55:00;59;35
2016-08-22;11:56:00;59;34
2016-08-22;11:56:59;31;30
2016-08-22;15:59:00;59;51
2016-08-22;16:00:00;63;39
2016-08-22;16:01:00;63;39
2016-08-22;16:02:00;63;38
2016-08-22;16:03:00;63;38
2016-08-22;16:05:00;62;38
2016-08-22;16:06:00;62;38
2016-08-22;16:07:00;62;38
2016-08-22;16:08:00;63;39
2016-08-22;16:09:00;63;39
2016-08-22;16:10:00;63;39
2016-08-22;16:11:00;63;39
2016-08-22;16:12:00;63;39
2016-08-22;16:13:00;63;39
2016-08-22;16:14:00;63;39
2016-08-22;16:16:00;63;39
2016-08-22;16:17:00;63;39
2016-08-22;16:18:00;63;39
2016-08-22;16:19:00;63;39
2016-08-22;16:20:00;63;39
2016-08-22;16:21:00;63;39
2016-08-22;16:22:00;63;39
2016-08-22;16:23:00;63;39
2016-08-22;16:25:00;63;39
2016-08-22;16:26:00;63;39
2016-08-22;16:27:00;63;39
2016-08-22;16:28:00;63;39
2016-08-22;16:29:00;63;39
2016-08-22;16:30:00;63;39
2016-08-22;16:31:00;63;39
2016-08-22;16:32:00;63;39
2016-08-22;16:34:00;63;40
2016-08-22;16:35:00;63;40
2016-08-22;16:36:00;63;40
2016-08-22;16:37:00;40;40
2016-08-22;16:38:00;40;40
2016-08-22;16:39:00;40;40
2016-08-22;16:40:00;40;40
2016-08-22;16:41:00;40;40
2016-08-22;16:42:00;40;40
2016-08-22;16:44:00;127;111
2016-08-22;16:45:00;127;107
2016-08-22;16:46:00;63;50
2016-08-22;16:47:00;45;45
2016-08-22;16:48:00;44;44
2016-08-22;16:49:00;63;43
2016-08-22;16:49:59;42;42
2016-08-22;16:51:00;42;42
2016-08-22;16:52:00;63;42
2016-08-22;16:53:00;63;42
2016-08-22;16:54:00;63;42
2016-08-22;16:55:00;42;42
2016-08-22;16:56:00;42;42
2016-08-22;16:57:00;42;42
2016-08-22;16:58:00;42;42
2016-08-22;16:59:00;42;42
2016-08-22;17:00:00;42;42
2016-08-22;17:02:00;42;42
2016-08-22;17:03:00;42;42
2016-08-22;17:04:00;42;42
2016-08-22;17:05:00;42;42
2016-08-22;17:06:00;43;42
2016-08-22;17:07:00;43;42
2016-08-22;17:08:00;43;42
2016-08-22;17:09:00;43;42
2016-08-22;17:10:00;43;42
2016-08-22;17:11:00;43;43
2016-08-22;17:13:00;43;43
2016-08-22;17:14:00;43;42
2016-08-22;17:15:00;43;43
2016-08-22;17:16:00;43;43
2016-08-22;17:17:00;42;42
2016-08-22;17:18:00;63;42
2016-08-22;17:19:00;63;42
2016-08-22;17:20:00;63;42
2016-08-22;17:21:00;63;42
2016-08-22;17:22:00;63;42
2016-08-22;17:22:59;62;42
2016-08-22;17:24:00;63;56
日期;時間;濕度%;溫度C
2016-08-22;20:12:00;39;37
2016-08-22;20:13:00;39;34
2016-08-22;20:14:00;39;35
2016-08-22;20:15:00;39;35
2016-08-22;20:16:00;37;36
2016-08-22;20:17:00;37;36
2016-08-22;20:18:00;37;36
2016-08-22;20:19:00;37;36


2016-08-22;20:21:00;36;36
2016-08-22;20:22:00;36;36
2016-08-22;20:23:00;47;45
2016-08-22;20:24:00;43;41
2016-08-22;20:25:00;43;41
2016-08-22;20:26:00;43;41
2016-08-22;20:27:00;43;41
2016-08-22;20:28:00;43;41
2016-08-22;20:29:00;47;44
2016-08-22;20:30:00;43;41
2016-08-22;20:30:59;43;41
2016-08-22;20:32:00;43;41
2016-08-22;20:33:00;43;41
2016-08-22;20:34:00;50;50
2016-08-22;20:35:00;63;45
2016-08-22;20:36:00;62;42
2016-08-22;20:37:00;61;41
2016-08-22;20:38:00;61;44
2016-08-22;20:39:00;63;43
2016-08-22;20:40:00;63;43
2016-08-22;20:41:00;63;43
2016-08-22;20:41:59;63;43
2016-08-22;20:43:00;63;43
2016-08-22;20:44:00;63;43
2016-08-22;20:45:00;63;43
2016-08-22;20:46:00;59;43
2016-08-22;20:47:00;59;43
2016-08-22;20:48:00;63;45
2016-08-22;20:49:00;63;45
2016-08-22;20:50:00;63;45
2016-08-22;20:51:00;59;48
2016-08-22;20:52:00;63;47
2016-08-22;20:52:59;63;47
2016-08-22;20:54:00;63;46

2016-08-22;20:56:00;59;48

2016-08-22;20:58:00;59;43
2016-08-22;20:59:00;59;43
2016-08-22;21:00:00;59;43
2016-08-22;21:01:00;59;43
2016-08-22;21:02:00;59;50
2016-08-22;21:03:00;63;45
2016-08-22;21:04:00;63;44
2016-08-22;21:05:00;59;43

2016-08-22;21:07:00;59;42
2016-08-22;21:08:00;59;43
2016-08-22;21:09:00;59;43
2016-08-22;21:10:00;59;43
2016-08-22;21:11:00;59;43
2016-08-22;21:12:00;63;44
2016-08-22;21:13:00;63;44
2016-08-22;21:14:00;63;44
2016-08-22;21:15:00;63;46
2016-08-22;21:16:00;63;46
2016-08-22;21:16:59;63;45
2016-08-22;21:18:00;63;44
2016-08-22;21:19:00;63;44
2016-08-22;21:20:00;63;44
2016-08-22;21:21:00;63;45
2016-08-22;21:22:00;63;46
2016-08-22;21:23:00;63;45
2016-08-22;21:24:00;63;46
2016-08-22;21:25:00;63;46

2016-08-22;21:27:00;63;47
2016-08-22;21:28:00;63;47
2016-08-22;21:29:00;63;47
2016-08-22;21:30:00;63;47
2016-08-22;21:31:00;63;47
2016-08-22;21:32:00;63;46
2016-08-22;21:33:00;63;46
2016-08-22;21:34:00;63;46
2016-08-22;21:35:00;63;46
2016-08-22;21:36:00;63;47
2016-08-22;21:36:59;63;46
2016-08-22;21:38:00;63;47
2016-08-22;21:39:00;59;48
2016-08-22;21:40:00;59;48


2016-08-22;21:43:00;63;47
2016-08-22;21:44:00;59;43
2016-08-22;21:45:00;59;43
2016-08-22;21:46:00;59;43
2016-08-22;21:47:00;59;43
2016-08-22;21:47:59;63;45
2016-08-22;21:49:00;63;45
2016-08-22;21:50:00;63;45
2016-08-22;21:51:00;63;45
2016-08-22;21:52:00;63;47
2016-08-22;21:53:00;63;47
2016-08-22;21:54:00;59;48
2016-08-22;21:55:00;63;45
2016-08-22;21:56:00;63;46
2016-08-22;21:57:00;63;44
2016-08-22;21:58:00;63;44
2016-08-22;21:58:59;63;46
2016-08-22;22:00:00;63;45
2016-08-22;22:01:00;63;45
2016-08-22;22:02:00;63;45
2016-08-22;22:03:00;63;45
2016-08-22;22:04:00;63;44
2016-08-22;22:05:00;63;44
2016-08-22;22:06:00;63;44
2016-08-22;22:07:00;63;45
2016-08-22;22:08:00;63;45
2016-08-22;22:09:00;63;45
2016-08-22;22:09:59;63;45
2016-08-22;22:11:00;63;44
2016-08-22;22:12:00;63;44
2016-08-22;22:13:00;63;45
2016-08-22;22:14:00;63;44
2016-08-22;22:15:00;63;44
2016-08-22;22:16:00;59;43
2016-08-22;22:17:00;63;44
2016-08-22;22:18:00;61;44
2016-08-22;22:19:00;59;43
2016-08-22;22:20:00;63;44
2016-08-22;22:20:59;62;44
2016-08-22;22:22:00;63;44
2016-08-22;22:23:00;63;44
2016-08-22;22:24:00;63;44
2016-08-22;22:25:00;63;45
2016-08-22;22:26:00;63;47
2016-08-22;22:27:00;63;46
2016-08-22;22:28:00;63;46
2016-08-22;22:29:00;63;46
2016-08-22;22:30:00;63;45
2016-08-22;22:31:00;63;44
2016-08-22;22:31:59;63;44
2016-08-22;22:33:00;63;44
2016-08-22;22:34:00;63;44
2016-08-22;22:35:00;63;45
2016-08-22;22:36:00;63;45
2016-08-22;22:37:00;63;45
2016-08-22;22:38:00;63;45
2016-08-22;22:39:00;63;45
2016-08-22;22:40:00;63;44

2016-08-22;22:42:00;63;44
2016-08-22;22:43:00;63;44
2016-08-22;22:44:00;63;44
2016-08-22;22:45:00;63;45
2016-08-22;22:46:00;63;44
2016-08-22;22:47:00;63;44
2016-08-22;22:48:00;63;44
2016-08-22;22:49:00;63;44
2016-08-22;22:50:00;63;44
2016-08-22;22:51:00;63;44
2016-08-22;22:51:59;63;44
2016-08-22;22:53:00;63;44
2016-08-22;22:54:00;63;44
2016-08-22;22:55:00;63;44
2016-08-22;22:56:00;63;44
2016-08-22;22:57:00;63;44
2016-08-22;22:58:00;63;45
2016-08-22;22:59:00;63;45
2016-08-22;23:00:00;63;45

2016-08-22;23:02:00;63;45
2016-08-22;23:03:00;63;45
2016-08-22;23:04:00;63;45
2016-08-22;23:05:00;63;45
2016-08-22;23:06:00;63;53
2016-08-22;23:07:00;59;58
2016-08-22;23:08:00;95;75
2016-08-22;23:09:00;59;43
2016-08-22;23:10:00;59;43
2016-08-22;23:11:00;63;44
2016-08-22;23:11:59;63;44
2016-08-22;23:13:00;63;44
2016-08-22;23:14:00;63;44
2016-08-22;23:15:00;63;44
2016-08-22;23:16:00;63;44
2016-08-22;23:17:00;63;44
2016-08-22;23:18:00;63;45
2016-08-22;23:19:00;63;45
2016-08-22;23:20:00;59;48
2016-08-22;23:21:00;63;55
2016-08-22;23:22:00;59;51
2016-08-22;23:22:59;59;50
2016-08-22;23:24:00;59;50
2016-08-22;23:25:00;59;48
2016-08-22;23:26:00;59;48
2016-08-22;23:27:00;63;47
2016-08-22;23:28:00;59;49
2016-08-22;23:29:00;63;47
2016-08-22;23:30:00;63;46
